Pre-monsoon_2015 (meters below ground level),Pre-monsoon_2016 (meters below ground level),Pre-monsoon_2017 (meters below ground level),Pre-monsoon_2018 (meters below ground level),Pre-monsoon_2019 (meters below ground level),Pre-monsoon_2020 (meters below ground level),Pre-monsoon_2021 (meters below ground level),Pre-monsoon_2022 (meters below ground level),Label
9.45,14.9,12.9,12.85,13.5,7.7,12.4,11.15,0
10.09,9.9,12.8,14.02,14.9,14.5,13.26,13.55,0
57.5,57.58,60.0,61.8,61.92,61.46,63.5,65.0,1
49.2,50.45,52.0,60.0,61.5,60.5,62.5,68.0,1
4.8,5.8,7.7,5.8,6.9,7.6,8.3,8.9,0
1.45,1.95,1.4,1.43,1.7,2.1,4.2,2.4,0
5.89,7.25,6.6,6.5,10.5,5.5,5.8,5.9,0
23.25,16.25,15.19,14.6,16.0,15.7,14.13,9.33,0
27.07,29.22,30.45,31.15,35.56,22.3,36.81,37.58,1
18.6,23.1,19.75,22.1,22.6,6.3,6.6,6.9,0
12.3,19.8,6.9,6.3,5.6,7.5,8.1,9.3,0
9.7,9.7,7.4,8.5,8.5,5.4,6.1,6.1,0
24.04,25.26,25.3,26.0,25.62,25.62,25.31,25.41,1
13.5,13.6,9.6,9.5,13.6,10.2,5.0,8.5,0
8.5,8.5,6.6,6.5,7.7,7.6,6.9,6.7,0
11.8,14.5,14.0,12.4,12.1,7.2,8.7,7.6,0
13.75,13.75,20.05,15.05,17.85,9.4,16.65,13.95,0
131.5,131.5,136.3,139.0,139.68,139.9,139.3,137.8,1
45.84,47.55,48.7,51.49,53.28,54.84,51.73,51.78,1
11.3,12.0,14.6,11.5,19.1,14.9,16.5,21.3,0
7.95,5.9,10.92,7.8,9.1,5.1,6.45,5.1,0
9.0,9.5,8.7,8.5,9.5,11.2,12.6,11.0,0
32.01,33.53,34.41,35.4,36.57,36.66,36.87,36.4,1
35.6,37.8,37.1,40.2,41.4,43.4,45.35,49.5,1
6.5,6.71,6.78,6.85,6.97,6.34,6.83,6.23,0
5.7,6.1,6.8,5.5,7.8,7.4,6.25,5.5,0
18.3,21.0,32.7,29.3,42.65,42.4,63.6,62.95,1
7.39,11.78,7.1,8.0,13.48,5.3,5.62,9.68,0
7.0,7.5,6.7,7.5,7.6,6.7,6.5,7.8,0
46.2,47.0,47.1,48.0,48.05,48.55,49.9,50.2,1
9.4,9.4,8.9,10.7,11.2,9.0,9.5,8.5,0
5.09,4.9,5.91,6.5,5.98,4.63,7.75,7.1,0
8.7,12.1,11.8,18.3,9.0,9.01,11.1,7.93,0
17.67,17.78,17.85,17.9,18.15,18.25,15.65,14.05,0
1.25,5.55,3.02,2.15,3.05,2.51,0.8,2.41,0
3.95,5.85,6.05,5.35,7.5,3.65,4.83,3.91,0
8.4,9.75,8.8,9.55,8.7,7.1,8.8,8.1,0
26.85,27.7,28.5,29.1,29.2,30.0,29.15,30.8,1
58.47,58.82,61.1,63.05,63.2,63.8,65.2,67.0,1
12.7,13.05,14.9,12.2,12.5,13.2,14.7,16.3,0
7.15,14.0,7.5,7.6,9.0,9.2,9.3,9.15,0
7.7,7.3,7.8,6.85,17.0,14.5,14.9,14.3,0
55.05,34.5,68.93,39.43,51.22,44.0,34.45,22.7,0
7.03,6.88,13.98,13.58,13.63,14.1,33.1,36.9,1
30.55,30.0,30.3,30.3,31.6,32.13,32.88,32.95,1
20.0,21.05,21.8,22.1,23.0,22.3,19.97,18.9,0
12.9,15.6,15.3,13.1,15.4,14.7,14.6,10.3,0
27.5,29.55,29.25,29.25,31.85,30.2,30.45,31.65,1
53.6,34.6,35.6,36.6,24.35,25.6,24.76,23.5,0
35.7,39.4,40.3,42.4,43.6,43.9,44.35,43.4,1
10.8,9.5,10.2,9.4,16.8,16.1,23.7,29.7,1
8.5,8.7,10.0,10.2,10.3,10.1,10.65,10.4,0
8.7,9.1,9.0,9.1,9.2,7.8,9.15,9.3,0
4.9,4.6,5.6,6.2,9.2,7.3,7.0,6.8,0
4.6,5.2,3.2,3.3,3.9,3.9,3.5,4.1,0
97.7,98.0,98.6,100.5,97.6,105.5,105.1,104.2,1
6.85,7.0,7.55,7.75,7.4,6.9,5.05,7.08,0
11.11,11.7,10.0,10.3,12.1,11.4,9.3,10.0,0
6.84,9.75,5.72,8.9,7.6,5.2,7.96,7.5,0
9.3,11.6,11.4,11.5,10.5,7.25,10.9,11.1,0
65.1,60.2,61.2,52.0,60.8,60.2,57.0,55.4,1
10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.7,0
12.15,12.85,13.25,13.25,13.3,13.9,14.5,15.1,0
8.9,11.7,8.05,10.61,9.55,7.55,10.45,8.95,0
18.7,20.65,21.5,20.35,20.4,21.7,21.1,21.03,0
39.6,44.2,43.95,46.2,40.6,34.6,44.4,30.8,1
11.7,10.6,10.0,8.0,10.6,5.8,5.5,5.5,0
10.25,10.5,10.5,10.5,10.5,10.5,10.0,10.2,0
30.6,31.35,31.4,31.4,35.95,36.25,36.45,36.4,1
10.2,11.1,11.7,11.75,12.2,12.55,12.85,13.1,0
78.25,68.9,71.95,72.18,72.0,72.1,70.73,70.5,1
10.11,11.33,12.05,14.03,15.35,14.3,17.23,17.12,0
24.0,13.25,17.1,10.1,18.9,21.02,21.5,7.45,0
18.6,19.25,19.4,19.49,20.1,20.7,19.8,19.6,0
5.7,8.5,6.3,5.2,6.5,6.9,6.5,6.2,0
8.8,5.88,6.55,4.7,6.98,6.69,8.15,8.8,0
6.0,7.3,2.6,2.6,3.8,1.8,2.0,5.0,0
7.0,4.1,4.0,6.6,5.4,5.0,5.9,6.2,0
13.0,12.6,13.0,12.8,14.2,10.1,11.6,14.5,0
23.75,22.3,22.71,22.13,26.05,21.0,21.75,14.1,0
17.15,17.2,13.34,14.25,15.65,16.57,18.65,18.5,0
18.35,18.85,19.2,19.5,19.7,17.65,18.6,18.85,0
9.5,10.1,10.0,10.15,10.5,10.85,10.25,11.9,0
8.3,8.4,9.6,7.5,10.4,9.8,9.1,9.0,0
102.7,105.15,106.9,105.5,107.9,107.1,105.1,106.2,1
27.9,33.7,36.6,34.1,39.2,30.1,29.4,32.5,1
25.75,17.65,18.65,18.2,19.6,20.4,21.15,21.7,0
14.6,15.3,19.4,12.8,18.1,12.8,12.0,13.2,0
14.01,15.47,16.03,17.6,19.8,18.95,20.1,20.2,0
25.53,25.75,25.6,25.7,26.05,25.3,28.7,21.0,0
10.46,11.03,10.55,8.25,6.75,3.85,7.0,10.45,0
6.05,6.15,5.78,5.88,6.58,7.45,6.35,6.1,0
13.73,14.2,14.7,14.99,15.62,15.73,16.91,17.24,0
10.6,7.7,8.75,8.7,9.4,8.0,8.5,7.9,0
37.2,36.5,38.6,38.2,41.6,41.5,40.1,42.9,1
5.75,9.45,7.7,8.58,8.65,7.35,8.35,8.2,0
6.7,5.0,11.6,11.9,14.3,8.0,9.7,9.2,0
9.77,8.71,8.81,8.85,8.91,7.7,5.85,6.95,0
56.4,59.3,66.3,68.3,78.6,82.0,88.3,89.85,1
95.6,98.8,99.2,106.3,114.3,101.8,99.9,102.4,1
7.0,7.0,7.0,7.0,7.0,4.75,5.1,5.8,0
97.3,98.5,99.8,102.2,101.0,98.0,98.9,97.6,1
13.1,13.7,16.9,16.6,24.0,14.5,14.6,13.4,0
3.2,4.8,2.02,1.66,3.36,2.84,2.43,1.9,0
2.42,4.2,1.8,1.9,1.2,0.9,2.1,0.9,0
10.9,12.9,11.72,12.01,12.76,10.59,7.6,11.26,0
45.4,44.85,45.8,44.3,42.3,42.7,39.6,40.0,1
44.45,40.35,26.94,28.18,40.0,45.01,27.45,11.94,0
11.8,13.5,13.6,14.0,14.05,13.2,13.2,13.2,0
26.8,22.8,16.3,14.6,24.9,14.8,12.9,11.5,0
62.6,64.5,65.0,67.5,67.8,68.0,69.3,69.2,1
8.7,9.5,8.6,7.9,10.0,8.8,8.3,8.5,0
38.8,39.3,39.3,40.5,41.0,41.4,43.2,45.2,1
7.25,7.4,8.45,9.45,3.0,8.8,8.7,9.7,0
73.75,76.06,78.44,81.8,87.1,102.17,67.8,70.0,1
20.29,20.15,20.79,21.22,21.04,21.54,22.14,23.54,0
96.7,96.6,99.6,100.4,105.2,120.9,120.1,121.4,1
21.75,23.4,26.65,22.6,26.7,13.2,13.1,13.2,0
11.05,13.85,12.85,13.2,15.1,11.7,13.5,13.1,0
76.7,78.0,78.5,78.0,78.5,79.0,80.0,80.0,1
19.55,19.65,20.0,17.85,17.05,17.45,18.1,18.45,0
5.8,8.3,7.8,5.0,8.0,5.5,4.3,5.6,0
13.9,15.6,15.9,17.0,17.55,18.1,19.4,20.0,0
42.7,44.68,46.56,48.35,49.95,49.62,49.52,50.95,1
20.55,20.65,20.43,20.63,21.38,22.15,23.25,22.8,0
2.8,4.8,3.0,3.0,4.0,3.2,3.5,3.2,0
24.75,25.65,26.1,26.1,27.1,29.6,30.85,31.0,1
13.05,12.2,10.5,7.75,8.25,6.9,7.8,6.34,0
2.05,4.05,3.25,1.7,2.85,3.05,3.15,3.25,0
81.6,81.2,82.4,82.9,84.0,84.3,81.5,84.5,1
39.2,40.6,42.32,43.87,44.53,44.42,43.76,43.08,1
8.9,9.2,9.6,10.0,10.8,5.9,10.5,9.4,0
14.3,11.85,3.3,13.2,12.3,10.5,12.0,9.75,0
5.66,10.0,3.14,8.6,7.2,9.8,6.7,5.9,0
36.4,38.5,37.6,39.1,40.6,40.6,42.1,42.6,1
14.7,15.1,14.9,18.0,16.8,13.6,11.9,12.7,0
6.64,7.64,8.14,5.18,5.33,3.34,3.5,3.58,0
93.1,92.7,94.2,101.0,101.3,104.0,105.2,105.7,1
19.0,19.4,5.1,8.0,19.4,10.0,11.6,9.5,0
8.85,9.5,11.8,8.4,4.5,6.3,7.25,10.1,0
21.2,22.35,22.4,22.4,23.25,23.4,23.9,24.3,0
5.69,6.32,5.95,5.15,4.92,3.99,3.04,4.55,0
24.02,28.1,26.28,27.5,24.22,23.22,23.27,22.5,0
9.5,9.5,9.4,9.5,9.8,9.1,8.2,8.5,0
16.95,15.8,16.56,15.29,16.83,17.2,15.84,15.13,0
20.0,16.5,21.05,21.06,26.6,23.8,19.59,14.54,0
18.56,18.7,18.77,17.66,17.8,16.75,15.78,17.2,0
38.3,40.24,42.53,44.33,46.43,46.56,46.74,47.3,1
30.2,32.19,34.21,35.99,38.01,38.99,40.33,41.2,1
5.65,6.55,6.2,6.23,6.7,6.95,5.4,6.3,0
57.24,57.66,60.1,61.7,61.85,62.6,64.9,66.5,1
23.9,20.7,24.9,19.7,23.95,22.5,23.1,22.0,0
15.5,16.0,16.5,16.75,17.0,17.3,17.0,17.15,0
20.1,20.85,38.85,31.4,20.9,14.68,24.25,14.03,0
113.1,113.95,115.3,114.6,115.8,115.8,114.1,113.9,1
11.7,11.7,9.6,11.7,14.0,11.3,10.4,10.2,0
10.3,9.7,10.1,10.45,10.84,10.9,10.1,10.0,0
5.4,6.42,5.1,6.1,6.05,4.85,4.95,5.0,0
9.2,10.6,10.5,10.6,10.8,10.6,9.6,9.1,0
11.13,13.06,13.69,15.2,12.55,9.75,10.55,9.15,0
31.6,34.7,36.8,36.5,39.7,36.1,33.1,34.4,1
5.22,5.1,6.55,4.8,5.35,2.0,1.95,2.9,0
25.22,25.5,25.32,26.6,27.42,24.57,28.33,30.29,1
11.0,10.7,5.0,9.0,5.8,4.9,7.6,3.6,0
4.05,5.05,4.05,5.35,8.45,1.95,3.25,10.65,0
1.5,1.5,1.4,2.5,2.28,3.22,3.9,4.5,0
62.2,72.2,72.5,70.5,65.7,63.8,62.3,62.1,1
29.0,37.7,42.5,25.9,31.0,27.4,23.7,20.4,0
12.95,16.0,12.25,12.35,13.0,14.3,14.5,14.7,0
5.15,8.0,8.0,7.7,11.2,6.2,8.4,6.1,0
16.8,14.1,27.8,11.9,15.8,12.4,12.5,13.4,0
13.9,14.8,15.5,15.57,16.6,17.25,19.75,18.86,0
13.7,18.4,18.0,15.5,19.2,15.8,16.1,16.6,0
73.9,75.5,76.5,79.0,79.5,80.0,81.6,81.7,1
61.62,62.02,64.4,64.2,64.35,65.93,67.8,70.0,1
17.4,18.55,18.9,19.65,23.3,22.4,22.65,19.6,0
6.9,14.63,10.95,11.26,9.9,8.36,10.1,10.42,0
10.5,10.7,27.0,10.25,24.1,17.8,12.3,12.6,0
5.3,7.2,7.1,8.0,4.9,2.8,4.15,8.0,0
19.82,23.4,21.2,23.5,27.7,17.8,18.3,20.3,0
5.8,15.5,9.8,15.7,15.75,7.1,5.7,6.0,0
48.95,42.35,51.44,44.05,52.25,54.8,44.37,19.57,0
3.1,3.9,4.8,3.9,7.0,6.6,5.9,5.7,0
6.0,6.0,5.8,6.2,6.25,6.1,6.25,6.3,0
19.15,14.0,15.0,11.74,16.0,16.65,14.0,7.3,0
17.7,19.22,19.5,19.95,21.6,22.3,22.58,22.03,0
32.1,32.2,33.4,32.1,33.3,30.1,32.0,31.1,1
38.4,40.9,41.1,37.3,42.4,39.9,41.25,42.7,1
11.0,11.0,11.1,11.0,11.0,11.0,9.6,5.2,0
46.83,47.01,48.43,51.15,51.72,52.62,53.35,54.83,1
130.8,136.1,133.1,141.5,132.0,134.7,134.1,134.9,1
12.7,13.1,10.5,10.6,12.0,12.8,11.2,11.0,0
13.62,14.62,16.31,17.09,13.96,6.31,9.16,8.56,0
53.53,53.63,55.4,56.2,56.4,58.12,59.6,61.5,1
15.2,15.2,15.2,15.2,16.4,14.2,17.2,14.2,0
8.2,10.3,10.1,10.2,10.6,10.1,8.0,10.3,0
19.37,21.33,22.01,23.48,22.1,22.14,22.3,21.8,0
63.55,64.45,64.37,64.42,66.07,66.05,72.6,74.5,1
12.26,13.75,13.25,12.75,12.35,12.35,16.15,14.05,0
13.97,12.35,11.92,6.4,11.57,9.85,10.91,14.88,0
15.3,12.43,15.75,14.1,16.58,15.28,13.1,13.95,0
42.85,42.85,48.05,49.35,49.65,49.11,49.02,47.9,1
65.1,66.5,66.8,64.9,66.7,64.4,65.0,65.1,1
7.65,12.9,15.95,5.4,13.1,3.0,9.75,4.7,0
6.8,6.8,6.8,5.8,6.0,6.0,6.5,6.2,0
7.3,9.0,10.0,13.3,15.45,13.2,14.5,15.2,0
31.11,33.53,31.7,32.9,40.29,40.53,41.0,41.2,1
30.55,25.3,27.0,27.52,27.0,26.4,26.05,9.99,0
12.85,15.35,15.55,15.55,15.95,15.55,10.05,6.45,0
39.2,40.5,41.5,43.14,44.32,43.73,45.5,45.93,1
66.1,75.6,85.0,90.0,93.0,97.2,116.9,15.23,0
8.9,10.1,5.3,7.85,9.7,10.0,4.6,5.7,0
10.0,10.0,8.8,9.0,10.0,10.0,9.2,9.0,0
7.84,10.67,10.3,10.5,9.1,9.9,10.1,10.71,0
3.85,7.15,6.6,7.0,7.7,5.85,7.22,8.1,0
11.6,11.4,12.0,13.1,12.9,10.3,10.2,9.6,0
21.1,22.0,23.5,23.9,24.9,25.5,21.2,21.4,0
6.37,6.48,6.55,6.6,6.78,6.9,5.88,5.98,0
16.6,15.6,15.9,16.9,22.0,19.0,21.45,21.5,0
9.5,10.5,11.0,7.2,10.35,11.0,5.7,7.7,0
15.75,15.78,6.9,7.0,14.7,4.1,6.55,12.4,0
109.15,94.0,78.05,68.0,86.0,139.0,79.0,11.0,0
14.95,15.17,15.2,17.8,16.05,16.72,17.6,17.85,0
14.46,15.38,16.5,18.0,16.43,14.98,11.6,15.7,0
58.19,54.69,55.69,56.69,58.69,57.2,57.94,56.39,1
9.3,6.4,7.0,8.2,8.5,6.8,7.4,6.5,0
10.1,13.6,13.1,11.77,11.9,11.7,12.8,12.8,0
83.65,83.95,83.16,83.26,87.16,87.9,94.65,94.8,1
15.0,22.1,25.65,26.05,27.15,17.05,10.6,8.15,0
12.1,12.4,7.2,11.0,13.3,11.5,6.0,8.3,0
184.92,184.82,185.32,196.02,193.82,185.72,184.94,184.72,1
38.05,38.25,37.33,37.73,39.28,40.15,40.2,40.1,1
5.1,6.5,6.3,6.1,6.5,3.2,3.6,5.5,0
36.9,35.0,37.4,35.9,39.75,38.7,38.2,39.5,1
85.1,92.1,101.9,106.5,113.4,120.9,59.42,18.2,0
11.5,12.3,5.2,3.8,4.2,3.9,3.5,3.8,0
79.88,70.78,82.08,65.48,76.33,78.0,77.58,78.6,1
88.9,86.3,97.6,80.0,90.15,91.55,91.1,92.2,1
18.85,32.95,35.05,35.75,12.1,30.25,31.8,29.8,1
43.3,50.9,42.9,55.0,59.6,60.6,67.6,72.0,1
18.6,19.4,20.7,21.15,21.7,22.55,24.0,24.3,0
19.2,20.81,27.8,16.86,18.15,18.29,17.3,19.0,0
15.5,17.0,17.5,16.9,17.5,14.0,14.3,14.1,0
13.3,10.9,9.2,7.3,6.0,8.1,8.0,7.6,0
109.3,108.7,107.7,109.15,106.4,108.75,108.2,107.8,1
7.0,7.0,8.3,6.5,7.6,8.5,5.6,7.3,0
21.1,22.05,23.3,23.0,22.7,23.4,22.72,22.8,0
8.1,7.2,5.5,6.5,10.5,6.25,4.9,6.8,0
3.95,7.9,5.8,11.2,6.8,3.36,6.1,5.3,0
41.95,42.15,42.7,42.45,42.55,43.35,8.28,43.15,1
99.1,106.7,114.2,120.3,123.0,126.3,142.95,20.08,0
10.82,15.12,11.6,13.0,14.95,10.22,9.69,14.65,0
9.0,10.4,12.0,13.1,12.3,13.1,13.15,12.4,0
11.64,11.85,13.1,14.35,16.1,16.5,17.6,18.2,0
12.75,12.85,12.58,11.98,12.78,13.7,10.7,12.8,0
18.6,36.3,28.0,29.8,16.4,17.1,29.6,8.95,0
36.95,29.95,41.5,16.71,28.9,25.5,11.3,7.9,0
5.85,10.42,11.75,7.5,8.5,4.9,7.1,6.75,0
38.95,88.1,90.65,91.1,85.9,81.2,88.2,118.9,1
30.75,30.9,30.83,30.98,32.38,33.25,55.45,56.2,1
13.3,14.9,12.1,14.68,13.7,13.2,14.5,9.1,0
8.0,9.6,8.5,10.9,12.6,9.5,10.1,10.4,0
10.73,12.3,11.6,13.4,14.5,8.6,9.0,12.14,0
19.6,19.3,13.9,11.6,14.6,13.5,15.5,16.2,0
11.08,11.55,11.6,11.0,10.7,11.52,12.9,14.1,0
16.9,18.2,16.7,15.6,21.8,20.0,21.3,23.4,0
29.55,33.5,30.3,30.15,30.5,31.6,22.0,21.1,0
44.94,45.44,47.84,46.24,51.94,52.94,49.74,55.14,1
16.5,19.0,22.8,32.6,20.5,17.41,17.7,13.75,0
7.55,6.9,6.6,13.15,4.9,5.7,6.2,5.4,0
33.4,35.2,36.66,37.96,39.86,39.3,39.5,37.7,1
24.65,24.65,12.13,16.9,21.25,23.0,17.02,2.25,0
5.76,5.98,9.37,7.73,7.46,7.86,8.38,5.27,0
28.8,30.3,34.1,33.5,36.1,32.6,28.1,28.1,1
126.6,122.9,125.8,128.3,124.0,118.7,121.4,125.3,1
4.6,6.8,6.4,4.4,6.8,6.8,5.4,5.3,0
2.9,3.4,3.2,4.2,6.2,3.05,2.5,4.3,0
22.4,27.8,28.7,31.4,21.5,16.7,27.6,15.2,0
34.35,34.0,34.0,33.8,34.6,32.6,33.3,33.6,1
105.7,108.4,106.3,109.4,113.0,104.3,104.2,108.2,1
9.0,36.6,27.6,18.4,28.7,9.65,11.92,8.63,0
19.5,22.8,22.0,22.1,13.7,11.4,14.3,15.1,0
5.05,5.3,6.45,5.1,7.8,8.8,5.9,6.45,0
10.57,10.87,10.96,11.07,11.32,11.71,9.8,9.4,0
43.0,42.0,40.0,41.0,40.2,35.3,30.0,30.0,1
18.67,20.8,25.9,19.65,32.7,32.8,24.7,26.5,1
15.0,14.3,13.0,13.2,15.5,12.9,13.3,12.2,0
9.4,10.0,10.2,12.0,13.1,9.8,4.9,5.5,0
11.0,10.3,10.2,10.0,11.6,11.7,11.9,11.0,0
12.25,24.25,47.81,14.57,22.17,18.15,20.75,4.22,0
181.1,184.2,184.3,186.3,188.0,178.7,178.6,184.1,1
8.0,8.0,6.5,5.5,5.8,7.9,7.2,6.1,0
55.6,55.59,71.34,72.42,72.45,73.0,74.15,75.5,1
35.06,38.1,38.4,38.7,38.95,39.01,39.4,38.5,1
29.5,32.3,35.9,31.4,36.3,35.0,24.0,30.0,1
8.0,8.6,8.4,8.8,10.15,8.1,8.0,8.5,0
8.25,8.5,8.4,8.55,8.6,6.0,6.85,6.9,0
12.8,13.65,14.6,15.1,13.1,10.9,13.5,8.18,0
9.02,8.7,9.7,9.8,9.18,10.02,11.3,11.9,0
7.0,8.1,9.4,12.0,10.3,7.9,7.9,9.5,0
4.2,6.75,7.5,10.9,5.64,3.98,14.7,2.95,0
10.85,11.4,13.5,9.1,10.8,7.6,7.0,2.95,0
41.31,39.82,40.8,42.15,42.2,43.0,44.9,46.0,1
25.3,22.7,28.3,24.2,25.4,22.9,22.4,23.15,0
12.05,12.5,12.55,12.63,13.5,14.15,12.75,13.2,0
11.1,11.7,13.2,11.6,15.6,11.1,10.8,11.9,0
6.9,10.2,12.5,11.9,12.0,5.6,7.0,6.8,0
13.0,14.9,11.8,14.4,13.7,12.2,12.4,11.8,0
11.4,14.2,11.9,13.0,12.9,8.0,11.6,11.2,0
2.2,4.5,2.3,3.3,5.7,1.8,2.7,2.0,0
12.5,8.6,14.0,16.16,19.5,14.75,16.97,17.42,0
2.8,4.66,7.24,2.45,6.2,4.7,2.95,2.92,0
84.1,91.8,95.8,92.4,99.1,106.0,109.9,123.2,1
24.2,30.0,33.2,33.4,10.0,10.09,8.77,5.8,0
14.1,15.8,16.55,17.52,17.16,17.0,16.5,16.25,0
110.48,112.88,112.28,112.08,125.98,122.58,122.08,122.98,1
6.4,6.4,6.2,7.4,6.39,7.0,7.8,8.2,0
6.9,10.5,8.8,5.2,7.65,4.3,4.9,6.0,0
2.87,6.25,3.75,8.0,7.45,4.6,4.25,10.3,0
6.2,6.8,6.1,7.4,6.6,6.1,8.2,5.9,0
12.0,12.65,6.5,9.16,10.06,8.7,5.5,5.63,0
18.2,20.0,23.0,24.8,24.8,22.24,23.5,23.5,0
69.05,9.55,10.05,10.15,10.85,11.35,10.25,11.2,0
12.2,15.7,15.9,15.6,17.6,8.2,8.8,9.6,0
7.3,8.1,6.5,8.7,8.0,8.0,7.9,7.7,0
6.98,8.12,8.0,10.0,9.4,4.81,4.45,8.3,0
7.45,7.6,13.5,5.05,8.15,3.55,1.43,1.03,0
43.58,43.58,47.51,43.5,50.96,49.79,46.6,51.9,1
48.6,50.22,53.5,52.6,54.3,54.6,58.2,58.6,1
13.2,13.4,11.94,12.95,12.88,11.42,6.3,13.48,0
9.5,9.4,7.41,10.08,9.72,9.33,15.9,11.34,0
61.5,61.8,68.2,69.8,69.83,70.4,70.92,72.0,1
4.53,5.85,4.65,5.0,5.75,5.35,5.33,5.3,0
17.5,18.1,18.5,18.6,19.35,19.9,20.1,19.2,0
16.33,19.15,17.85,18.65,19.0,16.6,19.1,19.8,0
9.0,15.6,14.0,14.2,15.1,17.6,7.0,14.2,0
32.6,33.9,35.0,33.9,37.8,38.2,38.8,39.4,1
59.9,59.8,62.7,62.9,64.9,66.2,69.8,69.1,1
143.7,142.9,150.9,151.3,155.6,151.8,149.3,150.4,1
6.9,8.9,7.6,7.6,7.5,7.8,7.4,7.5,0
12.9,13.0,15.8,8.6,11.1,8.8,10.8,12.4,0
8.31,12.45,8.0,10.2,8.95,7.6,10.25,8.5,0
19.8,19.63,19.4,19.37,19.23,19.26,18.62,18.34,0
10.04,11.1,12.25,12.51,11.7,10.75,11.8,10.15,0
8.1,10.5,10.1,10.4,10.75,7.5,10.5,10.1,0
13.0,16.8,14.5,16.8,16.0,9.55,11.7,6.2,0
9.54,10.07,9.5,11.0,11.93,7.85,7.45,8.98,0
28.96,30.48,31.81,41.9,43.6,42.21,42.75,43.9,1
26.0,28.9,26.8,32.2,33.0,34.55,37.5,39.3,1
10.3,10.8,11.0,11.5,12.0,10.7,10.05,10.6,0
17.35,17.3,17.8,18.1,18.1,18.5,19.2,19.65,0
18.05,21.83,17.9,20.15,19.87,12.78,14.07,21.5,0
30.29,28.19,31.1,31.3,32.16,20.39,18.6,19.9,0
21.59,23.54,25.09,25.29,24.89,25.29,25.35,25.5,1
185.34,185.72,194.6,190.36,178.87,194.08,195.41,195.72,1
16.6,16.6,12.3,11.0,14.1,12.5,11.2,11.1,0
9.3,9.0,9.04,9.1,9.6,9.8,10.2,10.6,0
25.49,17.65,21.6,8.96,20.5,24.2,14.5,19.5,0
24.55,20.1,22.04,22.48,25.15,24.1,25.95,13.86,0
81.49,81.04,83.04,84.64,84.71,85.26,86.4,88.0,1
21.03,20.98,21.93,21.93,22.05,22.73,25.98,24.01,0
9.1,9.5,9.2,9.6,12.6,8.0,8.6,8.2,0
10.0,9.0,4.6,5.7,6.5,5.0,5.2,5.0,0
8.4,10.2,8.9,9.5,10.9,7.6,8.8,10.2,0
14.35,21.9,15.5,16.4,15.74,14.94,15.4,11.8,0
19.78,13.2,16.2,10.88,13.02,21.05,10.9,8.2,0
10.3,14.8,15.58,14.95,19.79,10.25,15.0,4.68,0
7.5,7.7,6.0,7.2,7.5,7.5,5.2,5.8,0
65.9,68.4,68.6,71.4,72.1,71.7,73.1,73.1,1
7.5,7.25,11.6,10.85,12.15,9.6,10.36,9.45,0
18.15,18.95,19.55,20.02,21.15,21.15,21.6,20.65,0
10.3,10.9,11.5,11.5,11.6,10.15,10.0,10.0,0
1.5,1.45,5.7,1.3,6.95,4.23,5.73,2.9,0
28.25,36.55,47.57,39.8,49.52,49.6,31.7,23.9,0
3.75,4.58,5.92,4.75,7.4,2.6,3.07,3.17,0
13.82,14.9,13.6,16.45,14.15,11.85,14.2,13.95,0
38.25,40.7,41.2,42.0,44.9,43.7,43.9,45.0,1
5.9,6.7,6.9,7.5,4.1,9.9,5.5,6.8,0
104.9,104.2,104.76,105.4,100.25,99.78,110.6,112.36,1
46.8,53.2,48.65,47.39,60.3,59.43,59.55,59.55,1
15.4,16.0,10.1,9.8,10.2,10.1,9.1,7.5,0
8.3,5.5,11.62,8.93,13.82,11.4,10.1,6.71,0
31.3,32.7,34.67,36.31,36.66,35.6,36.3,36.2,1
9.0,9.8,7.5,7.1,9.4,8.2,6.4,6.3,0
7.05,7.45,6.45,7.0,7.85,9.1,9.45,9.6,0
21.12,21.3,22.15,22.98,23.63,24.36,25.15,26.21,1
31.72,37.3,46.2,51.2,31.2,27.54,27.5,20.9,0
76.8,74.5,74.1,71.7,73.6,75.1,73.9,73.8,1
35.6,41.5,43.0,40.3,41.5,41.8,22.84,13.49,0
26.1,28.0,29.76,31.33,31.36,30.12,28.51,25.58,1
13.05,13.1,12.98,13.08,14.28,15.05,19.2,19.1,0
21.7,20.4,21.4,23.9,22.8,21.47,21.2,21.04,0
20.95,21.1,21.17,21.6,20.56,20.7,21.7,22.1,0
13.5,13.5,13.6,11.3,13.0,10.8,10.0,9.5,0
32.0,32.6,33.3,34.98,35.72,34.51,32.24,31.51,1
38.65,40.14,42.07,43.68,44.03,43.55,44.9,45.32,1
7.8,7.5,13.5,8.0,10.8,3.75,6.2,9.7,0
19.2,20.5,20.5,21.3,22.4,22.5,23.3,23.2,0
10.8,10.5,9.2,7.1,10.5,10.1,7.8,7.7,0
23.27,26.5,29.5,25.35,26.1,25.2,26.8,26.7,1
30.8,28.7,24.2,36.4,36.4,26.8,23.3,27.9,1
9.25,13.7,9.2,10.3,10.8,6.3,5.5,6.5,0
18.07,19.97,20.47,22.0,22.97,19.55,21.11,19.15,0
30.48,33.53,34.84,34.85,32.04,33.0,33.6,33.0,1
10.72,9.38,4.6,7.0,6.67,3.1,4.13,4.3,0
46.0,54.9,54.7,53.5,54.5,50.9,34.72,25.15,1
